Dependents,tenure,InternetService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
7590-VHVEG,0,1,1,0,1,29.85,29.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5575-GNVDE,0,34,1,2,0,56.95,1936.3000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3668-QPYBK,0,2,1,0,1,53.85,107.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7795-CFOCW,0,45,1,2,0,42.3,1903.4999999999998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9237-HQITU,0,2,2,0,1,70.7,141.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9305-CDSKC,0,8,2,0,1,99.65,797.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1452-KIOVK,1,22,2,0,1,89.1,1960.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6713-OKOMC,0,10,1,0,0,29.75,297.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7892-POOKP,0,28,2,0,1,104.8,2934.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6388-TABGU,1,62,1,2,0,56.15,3481.2999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9763-GRSKD,1,13,1,0,1,49.95,649.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7469-LKBCI,0,16,0,1,0,18.95,303.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8091-TTVAX,0,58,2,2,0,100.35,5820.299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0280-XJGEX,0,49,2,0,1,103.7,5081.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5129-JLPIS,0,25,2,0,1,105.5,2637.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3655-SNQYZ,1,69,2,1,0,113.25,7814.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8191-XWSZG,0,52,0,2,0,20.65,1073.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9959-WOFKT,1,71,2,1,0,106.7,7575.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4190-MFLUW,1,10,1,0,0,55.2,552.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4183-MYFRB,0,21,2,0,1,90.05,1891.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8779-QRDMV,0,1,1,0,1,39.65,39.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1680-VDCWW,0,12,0,2,0,19.8,237.60000000000002,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1066-JKSGK,0,1,0,0,0,20.15,20.15,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
3638-WEABW,0,58,1,1,1,59.9,3474.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6322-HRPFA,1,49,1,0,0,59.6,2920.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6865-JZNKO,0,30,1,0,1,55.3,1659.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6467-CHFZW,1,47,2,0,1,99.35,4669.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8665-UTDHZ,1,1,1,0,0,30.2,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5248-YGIJN,0,72,1,1,1,90.25,6498.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8773-HHUOZ,1,17,1,0,1,64.7,1099.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3841-NFECX,0,71,2,1,1,96.35,6840.849999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4929-XIHVW,0,2,2,0,1,95.5,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6827-IEAUQ,1,27,1,2,0,66.15,1786.0500000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7310-EGVHZ,0,1,0,0,0,20.2,20.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3413-BMNZE,0,1,1,0,0,45.25,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6234-RAAPL,1,72,2,1,0,99.9,7192.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6047-YHPVI,0,5,2,0,1,69.7,348.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6572-ADKRS,0,46,2,0,1,74.8,3440.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5380-WJKOV,0,34,2,0,1,106.35,3615.8999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8168-UQWWF,0,11,2,0,1,97.85,1076.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8865-TNMNX,1,10,1,2,0,49.55,495.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9489-DEDVP,1,70,1,1,1,69.2,4844.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9867-JCZSP,1,17,0,2,0,20.75,352.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4671-VJLCL,0,63,1,1,1,79.85,5030.549999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4080-IIARD,0,13,1,0,1,76.2,990.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3714-NTNFO,0,49,2,0,1,84.5,4140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5948-UJZLF,0,2,1,0,0,49.25,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7760-OYPDY,0,2,2,0,1,80.65,161.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7639-LIAYI,0,52,1,1,1,79.75,4147.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2954-PIBKO,1,69,1,1,1,64.15,4426.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8012-SOUDQ,0,43,2,0,1,90.25,3880.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9420-LOJKX,0,15,2,0,1,99.1,1486.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6575-SUVOI,0,25,1,0,1,69.5,1737.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7495-OOKFY,0,8,2,0,1,80.65,645.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4667-QONEA,1,60,1,2,1,74.85,4491.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1658-BYGOY,0,18,2,0,1,95.45,1718.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8769-KKTPH,1,63,2,2,1,99.65,6277.950000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5067-XJQFU,1,66,2,2,1,108.45,7157.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3957-SQXML,1,34,0,1,0,24.95,848.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5954-BDFSG,0,72,2,1,1,107.5,7740.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0434-CSFON,0,47,2,0,1,100.5,4723.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1215-FIGMP,0,60,2,0,1,89.9,5394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0526-SXDJP,0,72,1,1,0,42.1,3031.2000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0557-ASKVU,1,18,1,2,1,54.4,979.1999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5698-BQJOH,0,9,2,0,0,94.4,849.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5122-CYFXA,0,3,1,0,1,75.3,225.89999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8627-ZYGSZ,0,47,2,2,1,78.9,3708.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3410-YOQBQ,0,31,1,1,0,79.2,2455.2000000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3170-NMYVV,1,50,0,1,0,20.15,1007.4999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7410-OIEDU,0,10,2,0,1,79.85,798.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2273-QCKXA,0,1,1,0,0,49.05,49.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0731-EBJQB,1,52,0,2,1,20.4,1060.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1891-QRQSA,1,64,2,1,1,111.6,7142.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8028-PNXHQ,1,62,0,1,1,24.25,1503.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5630-AHZIL,1,3,1,0,1,64.5,193.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2673-CXQEU,0,56,2,2,0,110.5,6188.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6416-JNVRK,0,46,1,2,0,55.65,2559.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5590-ZSKRV,1,8,1,0,0,54.65,437.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0191-ZHSKZ,0,30,1,0,1,74.75,2242.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3887-PBQAO,1,45,0,2,1,25.9,1165.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5919-TMRGD,1,1,2,0,1,79.35,79.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8108-UXRQN,1,11,1,0,0,50.55,556.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9191-MYQKX,0,7,2,0,1,75.15,526.0500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9919-YLNNG,0,42,2,0,1,103.8,4359.599999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0318-ZOPWS,0,49,0,1,1,20.15,987.3499999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4445-ZJNMU,0,9,2,0,1,99.3,893.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4808-YNLEU,0,35,1,2,1,62.15,2175.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1862-QRWPE,1,48,0,1,0,20.65,991.1999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2796-NNUFI,1,46,0,1,1,19.95,917.6999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3016-KSVCP,0,29,1,0,0,33.75,978.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4767-HZZHQ,1,30,2,0,0,82.05,2461.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2424-WVHPL,0,1,2,0,0,74.7,74.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7233-PAHHL,1,66,1,1,1,84.0,5544.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6067-NGCEU,0,65,2,0,1,111.05,7218.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9848-JQJTX,0,72,2,1,1,100.9,7264.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
