SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
7590-VHVEG,0,1,0,1,1,0,1,1,29.85,29.85,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5575-GNVDE,0,0,0,34,1,2,0,0,56.95,1936.3000000000002,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3668-QPYBK,0,0,0,2,1,0,1,0,53.85,107.7,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7795-CFOCW,0,0,0,45,1,2,0,2,42.3,1903.4999999999998,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9237-HQITU,0,0,0,2,2,0,1,1,70.7,141.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9305-CDSKC,0,0,0,8,2,0,1,1,99.65,797.2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1452-KIOVK,0,0,1,22,2,0,1,3,89.1,1960.1999999999998,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6713-OKOMC,0,0,0,10,1,0,0,0,29.75,297.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7892-POOKP,0,1,0,28,2,0,1,1,104.8,2934.4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6388-TABGU,0,0,1,62,1,2,0,2,56.15,3481.2999999999997,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9763-GRSKD,0,1,1,13,1,0,1,0,49.95,649.35,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7469-LKBCI,0,0,0,16,0,1,0,3,18.95,303.2,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8091-TTVAX,0,1,0,58,2,2,0,3,100.35,5820.299999999999,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0280-XJGEX,0,0,0,49,2,0,1,2,103.7,5081.3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5129-JLPIS,0,0,0,25,2,0,1,1,105.5,2637.5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3655-SNQYZ,0,1,1,69,2,1,0,3,113.25,7814.25,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8191-XWSZG,0,0,0,52,0,2,0,0,20.65,1073.8,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9959-WOFKT,0,0,1,71,2,1,0,2,106.7,7575.7,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4190-MFLUW,0,1,1,10,1,0,0,3,55.2,552.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4183-MYFRB,0,0,0,21,2,0,1,1,90.05,1891.05,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8779-QRDMV,1,0,0,1,1,0,1,1,39.65,39.65,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1680-VDCWW,0,1,0,12,0,2,0,2,19.8,237.60000000000002,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1066-JKSGK,0,0,0,1,0,0,0,0,20.15,20.15,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3638-WEABW,0,1,0,58,1,1,1,3,59.9,3474.2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6322-HRPFA,0,1,1,49,1,0,0,3,59.6,2920.4,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6865-JZNKO,0,0,0,30,1,0,1,2,55.3,1659.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6467-CHFZW,0,1,1,47,2,0,1,1,99.35,4669.45,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8665-UTDHZ,0,1,1,1,1,0,0,1,30.2,30.2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5248-YGIJN,0,1,0,72,1,1,1,3,90.25,6498.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
