SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
1024-GUALD,0,1,0,1,1,0,1,1,24.8,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0484-JPBRU,0,0,0,41,0,0,1,2,25.25,1035.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3620-EHIMZ,0,1,1,52,0,1,0,0,19.35,1006.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6910-HADCM,0,0,0,1,2,0,0,1,76.35,76.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8587-XYZSF,0,0,0,67,1,1,0,2,50.55,3386.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6818-WOBHJ,1,1,0,68,2,0,1,2,89.6,6092.799999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3082-YVEKW,0,1,1,23,1,1,1,2,77.15,1774.45,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
4737-AQCPU,0,1,1,72,1,1,0,3,72.1,5191.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4853-RULSV,0,0,0,70,2,1,1,3,104.0,7280.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5766-ZJYBB,0,0,0,1,0,0,0,0,19.4,19.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2668-TZSPS,0,0,0,1,0,0,0,0,20.45,20.45,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3192-LNKRK,0,1,1,34,2,0,1,0,84.05,2857.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5315-CKEQK,1,1,1,28,1,2,1,1,51.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5914-DVBWJ,1,0,0,18,2,0,1,1,85.45,1538.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7998-ZLXWN,0,1,0,15,0,0,0,3,20.45,306.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6328-ZPBGN,1,0,0,11,2,0,1,2,95.15,1046.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9530-EHPOH,0,0,0,11,1,0,0,1,53.75,591.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1853-UDXBW,0,1,1,1,2,0,1,1,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2672-TGEFF,0,1,1,37,2,0,1,1,88.8,3285.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1902-XBTFB,0,0,1,22,2,0,1,1,89.4,1966.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1640-PLFMP,0,0,0,1,2,0,1,1,70.25,70.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3679-XASPY,0,1,1,1,0,0,0,1,19.45,19.45,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7356-IWLFW,0,1,1,46,2,0,1,2,80.0,3680.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9036-CSKBW,0,0,0,51,2,2,0,2,107.45,5479.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8952-WCVCD,0,1,0,41,2,2,1,2,104.45,4282.45,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2100-BDNSN,0,1,0,5,1,0,0,2,67.95,339.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2869-ADAWR,0,0,0,45,2,0,1,3,89.3,4018.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5832-EXGTT,0,1,1,29,1,0,1,0,60.2,1745.8000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9402-ORRAH,1,0,0,15,2,0,1,1,91.5,1372.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4967-WPNCF,0,0,0,72,1,1,1,2,63.7,4586.400000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8033-VCZGH,0,1,0,50,2,2,1,1,103.95,5197.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9392-XBGTD,0,0,1,27,0,1,0,0,20.6,556.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0078-XZMHT,0,1,0,72,1,1,1,2,85.15,6130.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
