tenure,InternetService,Contract,TotalCharges,OnlineSecurity_No internet service,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
7590-VHVEG,1,1,0,29.85,0.0,0.0,0.0,0.0,0.0,0.0,0
5575-GNVDE,34,1,2,1936.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0
3668-QPYBK,2,1,0,107.7,0.0,0.0,0.0,0.0,0.0,0.0,1
7795-CFOCW,45,1,2,1903.4999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
9237-HQITU,2,2,0,141.4,0.0,0.0,0.0,0.0,0.0,0.0,1
9305-CDSKC,8,2,0,797.2,0.0,0.0,0.0,0.0,0.0,0.0,1
1452-KIOVK,22,2,0,1960.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
6713-OKOMC,10,1,0,297.5,0.0,0.0,0.0,0.0,0.0,0.0,0
7892-POOKP,28,2,0,2934.4,0.0,0.0,0.0,0.0,0.0,0.0,1
6388-TABGU,62,1,2,3481.2999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
9763-GRSKD,13,1,0,649.35,0.0,0.0,0.0,0.0,0.0,0.0,0
7469-LKBCI,16,0,1,303.2,1.0,1.0,1.0,1.0,1.0,1.0,0
8091-TTVAX,58,2,2,5820.299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
0280-XJGEX,49,2,0,5081.3,0.0,0.0,0.0,0.0,0.0,0.0,1
5129-JLPIS,25,2,0,2637.5,0.0,0.0,0.0,0.0,0.0,0.0,0
3655-SNQYZ,69,2,1,7814.25,0.0,0.0,0.0,0.0,0.0,0.0,0
8191-XWSZG,52,0,2,1073.8,1.0,1.0,1.0,1.0,1.0,1.0,0
9959-WOFKT,71,2,1,7575.7,0.0,0.0,0.0,0.0,0.0,0.0,0
4190-MFLUW,10,1,0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4183-MYFRB,21,2,0,1891.05,0.0,0.0,0.0,0.0,0.0,0.0,0
8779-QRDMV,1,1,0,39.65,0.0,0.0,0.0,0.0,0.0,0.0,1
1680-VDCWW,12,0,2,237.60000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0
1066-JKSGK,1,0,0,20.15,1.0,1.0,1.0,1.0,1.0,1.0,1
3638-WEABW,58,1,1,3474.2,0.0,0.0,0.0,0.0,0.0,0.0,0
6322-HRPFA,49,1,0,2920.4,0.0,0.0,0.0,0.0,0.0,0.0,0
6865-JZNKO,30,1,0,1659.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6467-CHFZW,47,2,0,4669.45,0.0,0.0,0.0,0.0,0.0,0.0,1
8665-UTDHZ,1,1,0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,1
5248-YGIJN,72,1,1,6498.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8773-HHUOZ,17,1,0,1099.9,0.0,0.0,0.0,0.0,0.0,0.0,1
3841-NFECX,71,2,1,6840.849999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
4929-XIHVW,2,2,0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6827-IEAUQ,27,1,2,1786.0500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0
7310-EGVHZ,1,0,0,20.2,1.0,1.0,1.0,1.0,1.0,1.0,0
